192.168.42.213, 2019-01-27 15:34:47, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000869
192.168.42.213, 2019-01-27 15:34:47, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001040
192.168.42.213, 2019-01-27 15:34:47, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000790
192.168.42.213, 2019-01-27 15:34:47, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000344
192.168.42.213, 2019-01-27 15:34:47, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001134
192.168.42.213, 2019-01-27 15:34:47, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001164
192.168.42.213, 2019-01-27 15:34:47, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000626
192.168.42.213, 2019-01-27 15:34:47, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000970
192.168.42.213, 2019-01-27 15:34:47, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000697
192.168.42.213, 2019-01-27 15:34:48, GET, /admin/default/index, HTTP/1.1, 200, 0.003498
192.168.42.213, 2019-01-27 15:34:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000598
192.168.42.213, 2019-01-27 15:37:01, GET, /admin/default/index, HTTP/1.1, 200, 0.335674
192.168.42.213, 2019-01-27 15:37:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000468
192.168.42.213, 2019-01-27 15:37:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.271772
192.168.42.213, 2019-01-27 15:37:04, GET, /admin/default/index, HTTP/1.1, 200, 0.003648
192.168.42.213, 2019-01-27 15:37:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000518
192.168.42.213, 2019-01-27 15:39:09, GET, /admin/default/index, HTTP/1.1, 200, 0.349112
192.168.42.213, 2019-01-27 15:39:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000503
192.168.42.213, 2019-01-27 15:39:12, GET, /, HTTP/1.1, 303, 0.000907
192.168.42.213, 2019-01-27 15:39:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.296753
192.168.42.213, 2019-01-27 15:39:12, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001040
192.168.42.213, 2019-01-27 15:39:12, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000900
192.168.42.213, 2019-01-27 15:39:12, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002322
192.168.42.213, 2019-01-27 15:39:12, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001061
192.168.42.213, 2019-01-27 15:39:12, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000556
192.168.42.213, 2019-01-27 15:39:12, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002257
192.168.42.213, 2019-01-27 15:39:12, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001142
192.168.42.213, 2019-01-27 15:39:12, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001139
192.168.42.213, 2019-01-27 15:39:12, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000781
